기간,자치구,동,합계,합계,합계,합계,합계,농업 임업 및 어업,농업 임업 및 어업,광업,광업,제조업,제조업,전기 가스 증기 및 공기조절 공급업,전기 가스 증기 및 공기조절 공급업,수도 하수 및 폐기물 처리 원료 재생업,수도 하수 및 폐기물 처리 원료 재생업,건설업,건설업,도매 및 소매업,도매 및 소매업,운수 및 창고업,운수 및 창고업,숙박 및 음식점업,숙박 및 음식점업,정보통신업,정보통신업,금융 및 보험업,금융 및 보험업,부동산업,부동산업,전문 과학 및 기술 서비스업,전문 과학 및 기술 서비스업,사업시설 관리 사업 지원 및 임대 서비스업,사업시설 관리 사업 지원 및 임대 서비스업,공공행정 국방 및 사회보장 행정,공공행정 국방 및 사회보장 행정,교육 서비스업,교육 서비스업,보건업 및 사회복지 서비스업,보건업 및 사회복지 서비스업,예술 스포츠 및 여가관련 서비스업,예술 스포츠 및 여가관련 서비스업,협회 및 단체 수리 및 기타 개인 서비스업,협회 및 단체 수리 및 기타 개인 서비스업
기간,자치구,동,사업체수,사업체수,종사자수,종사자수,종사자수,사업체수,종사자수,사업체수,종사자수,사업체수,종사자수,사업체수,종사자수,사업체수,종사자수,사업체수,종사자수,사업체수,종사자수,사업체수,종사자수,사업체수,종사자수,사업체수,종사자수,사업체수,종사자수,사업체수,종사자수,사업체수,종사자수,사업체수,종사자수,사업체수,종사자수,사업체수,종사자수,사업체수,종사자수,사업체수,종사자수,사업체수,종사자수
기간,자치구,동,사업체수,여성대표자,계,남,여,사업체수,종사자수,사업체수,종사자수,사업체수,종사자수,사업체수,종사자수,사업체수,종사자수,사업체수,종사자수,사업체수,종사자수,사업체수,종사자수,사업체수,종사자수,사업체수,종사자수,사업체수,종사자수,사업체수,종사자수,사업체수,종사자수,사업체수,종사자수,사업체수,종사자수,사업체수,종사자수,사업체수,종사자수,사업체수,종사자수,사업체수,종사자수
2019,용산구,보광동,840,340,2076,1052,1024,-,-,-,-,27,41,-,-,-,-,23,46,202,393,94,106,187,423,8,17,2,19,72,118,19,73,6,59,2,55,22,316,34,209,17,23,125,178
2019,용산구,청파동,1685,633,8542,4052,4490,-,-,-,-,313,963,1,1,1,10,24,99,323,955,122,147,402,1016,39,331,11,95,80,145,39,678,34,375,3,34,55,2424,37,348,40,167,161,754
2019,용산구,원효로1동,1758,519,10067,5990,4077,-,-,-,-,76,267,1,1,1,2,41,407,702,3429,84,158,322,941,50,293,31,413,102,278,80,683,31,1385,5,570,37,290,45,496,31,106,119,348
2019,용산구,한강로동,4899,1410,41427,24376,17051,-,-,-,-,124,445,-,-,3,32,58,835,2528,12633,76,1009,764,3783,150,5447,62,1208,257,1379,276,7621,95,3524,10,649,70,526,85,922,69,222,272,1192
2019,용산구,한남동,2087,793,17919,9015,8904,-,-,-,-,59,226,-,-,-,-,49,1104,517,3009,86,256,596,3616,47,669,26,741,167,552,157,2526,49,801,3,69,60,885,54,2410,65,498,152,557
2019,성동구,소계,28343,8563,178243,102769,75474,2,5,-,-,4181,26041,18,481,31,766,655,6330,7457,33180,2781,8814,3935,12957,917,11676,310,3686,1456,5799,1687,16671,448,16877,45,4127,995,11678,754,9255,592,2113,2079,7787
2019,성동구,왕십리2동,824,300,2757,1283,1474,-,-,-,-,165,582,-,-,-,-,25,131,149,425,115,287,105,286,6,21,6,54,68,171,9,31,7,47,2,28,35,220,34,289,17,45,81,140
2019,성동구,마장동,3207,780,12056,7921,4135,-,-,-,-,282,969,2,148,2,27,44,364,1665,5545,571,989,206,609,15,49,11,156,83,196,40,386,22,1100,2,49,47,375,50,620,30,114,135,360
2019,성동구,사근동,1072,349,10842,5097,5745,-,-,-,-,44,139,-,-,2,4,10,29,151,543,67,105,464,1756,22,97,7,59,49,123,45,876,15,29,3,226,48,4383,11,2103,61,150,73,220
2019,성동구,행당1동,1388,537,8651,4223,4428,-,-,-,-,90,254,1,1,2,198,29,348,360,1252,110,211,310,1327,18,174,13,127,67,250,28,162,18,101,7,2283,81,506,73,665,43,255,138,537
2019,성동구,행당2동,627,291,2050,817,1233,-,-,-,-,15,34,-,-,-,-,20,63,112,310,116,127,67,228,1,1,4,38,46,207,6,19,2,6,2,52,89,550,44,244,14,45,89,126
2019,성동구,응봉동,369,133,1028,495,533,-,-,-,-,9,19,-,-,1,2,16,41,62,118,103,124,36,98,2,3,1,3,22,94,1,5,1,6,2,44,42,292,16,91,10,16,45,72
2019,성동구,금호1가동,567,213,2100,926,1174,-,-,-,-,38,139,-,-,-,-,17,97,89,275,112,135,68,202,4,8,4,35,42,131,11,21,5,33,2,48,55,458,37,294,16,72,67,152
2019,성동구,금호4가동,657,288,2026,895,1131,-,-,-,-,32,86,-,-,1,2,11,108,128,343,76,90,118,353,1,4,6,57,54,131,21,55,6,16,2,21,38,271,39,245,26,61,98,183
2019,성동구,성수1가1동,1792,506,10716,6274,4442,-,-,-,-,419,2069,-,-,1,123,32,169,362,1946,134,208,175,592,94,1163,16,205,119,443,185,1634,23,407,2,23,69,594,28,216,35,401,98,523
2019,성동구,성수1가2동,2877,768,21512,12757,8755,1,2,-,-,464,3016,7,12,5,55,82,843,635,4416,179,1326,418,1363,248,3114,27,375,130,696,333,2378,63,2200,3,28,66,428,43,541,46,102,127,617
2019,성동구,성수2가1동,2526,695,18394,11628,6766,-,-,-,-,620,4213,-,-,-,-,53,540,646,3233,185,600,362,1080,91,2101,7,60,99,270,127,3012,28,1133,5,758,29,387,46,298,50,116,178,593
2019,성동구,성수2가3동,5805,1298,53249,32742,20507,-,-,-,-,1370,12093,6,14,4,24,168,2763,1426,9249,409,1534,527,1864,334,4564,58,1070,259,1823,626,6439,144,7226,2,58,77,1255,56,514,94,310,245,2449
2019,성동구,송정동,711,195,2709,1617,1092,-,-,-,-,103,433,-,-,2,3,30,206,143,359,122,160,80,158,8,26,1,1,31,57,71,466,6,21,2,273,18,92,15,178,13,24,66,252
2019,성동구,용답동,1864,511,13279,8586,4693,1,3,-,-,171,740,2,306,9,304,43,230,656,2543,133,2288,238,667,26,114,85,538,78,224,69,764,48,3116,2,53,34,207,45,488,35,89,189,605
2019,성동구,왕십리도선동,2176,855,10015,4417,5598,-,-,-,-,247,852,-,-,2,24,31,214,498,1722,140,310,428,1465,29,178,52,821,158,539,68,194,46,765,3,80,123,824,109,1402,52,143,190,482
2019,성동구,금호2.3가동,1013,451,2670,1142,1528,-,-,-,-,79,229,-,-,-,-,18,59,208,403,139,167,207,472,2,9,7,46,63,146,13,65,6,32,2,51,50,195,58,484,22,95,139,217
2019,성동구,옥수동,868,393,4189,1949,2240,-,-,-,-,33,174,-,-,-,-,26,125,167,498,70,153,126,437,16,50,5,41,88,298,34,164,8,639,2,52,94,641,50,583,28,75,121,259
2019,광진구,소계,24445,8921,126305,67899,58406,-,-,-,-,1657,6935,3,8,16,242,782,13131,5758,19389,2495,5240,4786,16639,341,3264,221,4117,1345,4073,809,5071,467,9746,36,2678,1209,14184,916,11551,1052,4209,2552,5828
2019,광진구,화양동,2447,870,15023,7686,7337,-,-,-,-,71,217,-,-,-,-,41,318,410,1511,93,340,955,3783,44,213,15,98,133,318,75,700,57,373,2,106,79,3456,68,2578,181,485,223,527
2019,광진구,군자동,1593,565,10021,5224,4797,-,-,-,-,127,460,-,-,-,-,43,215,333,1462,132,597,363,1123,35,173,20,249,79,160,44,524,38,1643,1,23,70,2265,63,595,63,136,182,396
2019,광진구,중곡1동,1588,545,6288,3164,3124,-,-,-,-,252,1208,-,-,1,2,65,390,434,1347,153,296,252,550,15,103,7,50,75,132,43,154,28,589,2,49,36,88,48,965,42,61,135,304
2019,광진구,중곡2동,1674,632,6959,3631,3328,-,-,-,-,167,684,-,-,-,-,70,608,361,1248,182,263,243,662,21,118,18,325,81,124,50,305,39,985,3,56,88,345,72,790,59,108,220,338
2019,광진구,중곡3동,1301,476,4543,2198,2345,-,-,-,-,214,808,-,-,1,3,42,275,264,677,184,326,219,532,6,17,3,28,51,73,12,32,16,247,2,50,27,159,50,886,56,126,154,304
2019,광진구,중곡4동,1524,542,4751,2525,2226,-,-,-,-,187,714,-,-,2,27,53,241,309,824,310,472,216,570,5,17,5,87,52,81,11,38,18,101,3,83,71,727,59,362,58,128,165,279
2019,광진구,능동,802,284,5723,2718,3005,-,-,-,-,34,178,-,-,1,18,27,182,193,1088,73,149,147,488,14,96,16,455,48,101,44,191,17,311,3,79,36,1424,28,258,48,506,73,199
2019,광진구,구의1동,1760,667,6989,3769,3220,-,-,-,-,87,320,1,1,2,19,67,763,353,1020,126,202,402,1125,28,154,18,159,120,223,112,375,31,473,5,545,62,461,55,607,93,169,198,373
2019,광진구,구의2동,1309,465,5912,3227,2685,-,-,-,-,83,448,-,-,1,88,29,996,234,926,276,436,234,666,11,52,10,245,77,126,27,230,16,95,1,24,77,485,62,699,40,111,131,285
2019,광진구,구의3동,2695,927,16544,9530,7014,-,-,-,-,42,245,-,-,2,9,66,1788,1092,3173,121,866,386,1517,52,1074,28,499,149,940,114,856,47,2408,1,26,193,983,91,705,94,336,217,1119
2019,광진구,광장동,1398,516,16114,10261,5853,-,-,-,-,49,242,1,4,3,46,67,5197,340,1524,71,111,210,1865,28,183,29,1457,118,610,68,386,34,714,2,61,135,1624,62,438,45,1362,136,290
2019,광진구,자양1동,1780,688,8987,4555,4432,-,-,-,-,111,461,1,3,1,27,57,764,445,1292,174,245,301,906,33,164,14,147,95,217,71,465,38,856,3,1378,71,299,88,1231,65,140,212,392
2019,광진구,자양2동,1433,488,6095,3386,2709,-,-,-,-,74,360,-,-,2,3,84,553,261,743,238,441,195,585,13,650,8,115,84,343,48,236,29,284,1,27,96,836,55,482,60,130,185,307
2019,광진구,자양3동,1324,573,6185,2780,3405,-,-,-,-,37,132,-,-,-,-,30,177,284,1304,188,279,236,968,13,136,15,153,101,451,35,153,26,533,3,95,126,761,51,510,45,194,134,339
2019,광진구,자양4동,1817,683,6171,3245,2926,-,-,-,-,122,458,-,-,-,-,41,664,445,1250,174,217,427,1299,23,114,15,50,82,174,55,426,33,134,4,76,42,271,64,445,103,217,187,376
2019,동대문구,소계,31324,10456,138400,73067,65333,-,-,2,4,3146,12956,2,3,20,143,735,5797,10599,30950,3523,6520,4845,14420,238,1931,260,4007,1453,4489,633,7325,446,6985,50,3430,1027,16657,1051,15154,762,2344,2532,5285
2019,동대문구,회기동,1034,418,10615,5107,5508,-,-,-,-,24,61,-,-,-,-,13,58,197,558,46,71,436,1373,16,209,11,69,33,70,23,104,15,55,2,39,50,4459,22,3041,59,174,87,274
2019,동대문구,휘경1동,929,355,3558,1628,1930,-,-,-,-,55,208,-,-,1,2,28,180,212,1001,84,127,214,717,13,25,3,18,69,183,16,65,25,169,1,19,38,134,43,340,30,88,97,282
2019,동대문구,휘경2동,1221,292,4930,2345,2585,-,-,-,-,35,169,-,-,1,3,22,130,148,440,600,617,130,317,5,14,3,18,57,145,8,24,13,60,7,242,53,1170,34,1405,26,39,79,137
2019,동대문구,청량리동,1614,587,8267,4363,3904,-,-,-,-,94,239,-,-,2,12,34,244,393,1072,150,209,319,859,12,122,14,227,79,238,80,1495,29,191,4,602,50,781,86,1296,69,236,199,444
2019,동대문구,용신동,5195,1573,28569,14970,13599,-,-,-,-,859,3420,2,3,4,39,139,1241,2018,6650,245,456,684,2043,63,525,82,2119,254,991,153,2341,104,2639,8,1632,95,1120,105,2228,83,452,297,670
2019,동대문구,제기동,4632,1600,13499,7712,5787,-,-,1,1,385,1082,-,-,1,3,53,362,2741,6124,176,331,522,1277,17,61,21,233,145,330,40,1299,29,154,3,98,66,514,156,1070,36,104,240,456
2019,동대문구,전농1동,2262,879,7802,4089,3713,-,-,-,-,128,452,-,-,1,1,72,354,749,2118,219,891,455,1501,9,83,10,67,118,195,32,126,27,314,6,144,74,331,70,628,65,169,227,428
2019,동대문구,전농2동,920,354,4853,2488,2365,-,-,-,-,53,200,-,-,-,-,23,69,167,389,173,176,133,404,9,18,5,29,36,107,27,236,7,12,2,152,88,2471,49,284,34,73,114,233
2019,동대문구,답십리1동,1971,597,8041,4135,3906,-,-,1,3,128,869,-,-,1,2,37,484,607,1604,399,672,198,582,25,63,25,230,109,312,44,224,55,1238,2,66,87,492,75,784,37,104,141,312
2019,동대문구,답십리2동,2187,620,7544,4270,3274,-,-,-,-,170,659,-,-,1,3,56,427,881,2536,307,415,219,624,7,20,11,122,99,494,23,164,21,280,3,31,59,277,93,929,53,130,184,433
2019,동대문구,장안1동,4409,1323,20501,11399,9102,-,-,-,-,712,3321,-,-,4,10,123,1539,1421,5073,440,1209,558,1730,41,713,50,728,200,886,119,705,73,1628,6,249,82,502,107,1164,89,298,384,746
2019,동대문구,장안2동,3071,1155,11503,5334,6169,-,-,-,-,430,2013,-,-,2,20,69,338,754,2584,383,604,532,1732,14,61,15,85,136,261,39,235,22,187,2,61,177,1091,117,1438,119,313,260,480
2019,동대문구,이문1동,1191,448,6425,3919,2506,-,-,-,-,28,87,-,-,1,2,37,153,196,550,127,180,355,1039,6,16,7,53,69,150,25,293,25,55,2,70,59,3082,58,290,51,140,145,265
2019,동대문구,이문2동,688,255,2293,1308,985,-,-,-,-,45,176,-,-,1,46,29,218,115,251,174,562,90,222,1,1,3,9,49,127,4,14,1,3,2,25,49,233,36,257,11,24,78,125
2019,중랑구,소계,28228,9519,103345,53185,50160,-,-,-,-,3423,14695,6,118,21,206,965,6429,5181,15505,6550,12496,4171,11311,142,894,158,1741,1161,3100,386,1726,350,3092,47,3533,915,7925,1031,13013,968,2543,2753,5018
2019,중랑구,면목2동,2062,690,6306,3174,3132,-,-,-,-,463,1923,-,-,1,6,87,378,405,1028,354,591,273,603,14,70,4,17,72,150,23,83,12,75,2,84,54,280,51,632,49,95,198,291
2019,중랑구,면목4동,1172,399,3839,2158,1681,-,-,-,-,187,783,-,-,1,1,56,263,165,400,288,863,142,287,4,10,7,37,47,105,20,68,12,35,6,73,58,394,34,260,27,99,118,161
2019,중랑구,면목5동,830,239,3050,1856,1194,-,-,-,-,207,886,-,-,2,7,42,396,161,563,178,491,85,193,1,1,1,17,27,42,12,30,17,80,2,72,4,38,15,86,17,36,59,112
